county,diabetes,obesity
13003,7.6,19.2
13005,8.4,22.3
13007,8,17.4
13009,8.3,34.7
13011,7.4,19.5
13013,8.9,29.8
13015,8.8,28.8
13017,9.7,27
13019,9.7,26
13021,15.6,37.7
13023,7.2,26
13025,8.5,27.3
13027,9.4,26.3
13029,8.6,28
13031,11,33.8
13033,11.1,29.9
13035,10.5,23.2
13037,9,17
13039,9.4,34.2
13043,7.7,21.7
13045,11.3,32.4
13047,8.6,30.7
13049,8.1,26.6
13051,10.2,31.1
13053,8.1,18.5
13055,9.4,32.9
13057,8.8,29
13059,9.9,29.4
13061,8.7,20.8
13063,12.8,34.8
13065,10.3,24.2
13067,7.9,29.3
13069,10.3,25.8
13071,9.4,26.9
13073,8.2,31.5
13075,12.3,25.6
13077,9,34
13079,8.8,21.9
13081,8.8,20.2
13083,6.7,18.3
13085,8.1,25.3
13087,10.5,32
13089,10.5,26.3
13091,10.3,27.4
13093,9.6,23.1
13095,13,37.8
13097,11.6,30.5
13099,8.5,18.4
13101,7.5,17.4
13103,10.4,31.8
13105,7.2,18.8
13107,10.2,33.1
13109,8.3,23
13111,8.1,22
13113,8.5,27.7
13115,12.7,33.8
13117,9,25.4
13119,7.2,22.5
13121,8.3,26.4
13123,8.8,26.9
13125,7.5,19.8
13127,10.6,32.2
13129,10.4,37.4
13131,11,27.4
13133,8.3,23.5
13135,9.6,28.6
13137,8.4,27.5
13139,9.9,28.5
13141,9.6,23.2
13143,7.5,22.1
13145,11.6,26.7
13147,8.7,20.7
13149,7.2,17.8
13151,10.7,39.1
13153,13,35.7
13155,7.8,21.8
13157,7.3,28
13159,8,19.8
13161,7.2,20
13163,10.1,26.2
13165,8.6,23.8
13167,11.9,25.3
13169,8.2,24.2
13171,7.5,20.5
13173,9.1,23.2
13175,12.6,38.8
13177,9.9,28.4
13179,10.6,35.2
13181,8.4,19.6
13183,8,18.2
13185,11.6,35
13187,7,23.1
13189,9.9,28.3
13191,8.3,20.4
13193,9.8,19.8
13195,8.6,28.2
13197,7.1,18.9
13199,9.8,29.8
13201,7.8,19.3
13205,8.8,20.4
13207,8.7,18
13209,8.1,20.6
13211,8.7,24.7
13213,11.1,37.4
13215,11.9,35.8
13217,10.4,35
13219,7.7,25.4
13221,7.6,21.6
13223,10.8,31.6
13225,9.7,20.1
